id,project_id,name,role
1,1,"Ibitoye, Mobolaji",AUTHOR
2,1,"OlaOlorun, Funmilola",AUTHOR
3,1,"Casterline, John",AUTHOR
4,2,"Zhou, Chengmin",AUTHOR
5,2,"Gu, Wenhui",AUTHOR
6,3,"Arnold, Emily",AUTHOR
7,3,"Koester, Kimberly",AUTHOR
8,4,"Lambert, Catherine",AUTHOR
9,5,"Bleich, Erik",AUTHOR
10,6,"Awasthi, Kiran",AUTHOR
11,7,"Virbel-Fleischman, Clara",AUTHOR
12,8,"Silan, Miguel Alejandro",AUTHOR
13,8,"Ciruelas, Nica",AUTHOR
14,9,"Lutz, Amy",AUTHOR
15,10,"Saberi, Parya",AUTHOR
16,11,"Vignola, Emilia",AUTHOR
17,11,"Ahonen, Emily",AUTHOR
18,11,"Hajat, Anjum",AUTHOR
19,12,"Holland, Alisha",AUTHOR
20,13,"Mueller, Jennifer",AUTHOR
21,13,"Kirstein, Marielle",AUTHOR
22,13,"VandeVusse, Alicia",AUTHOR
23,13,"Lindberg, Laura",AUTHOR
24,14,"Ruedin, Didier",AUTHOR
25,14,"Murahwa, Brian",AUTHOR
26,15,"Schell, Jane",AUTHOR
27,15,"Ernecoff, Natalie",AUTHOR
28,16,"YEH, EMILY",AUTHOR
29,17,"Lum, Hillary",AUTHOR
30,18,"Mahr, Dana",AUTHOR
31,19,"Miró, Àlex",AUTHOR
32,20,"McIntosh, Tristan",AUTHOR
33,21,"Biszaha, Anna",AUTHOR
34,22,"Izumi, Seiko",AUTHOR
35,23,"Mersha, Girmay Ayana",AUTHOR
36,24,"Holland, Melanie",AUTHOR
37,24,"Demaree, Katherine",AUTHOR
38,24,"Thomas, Evan",AUTHOR
39,25,"Spek, Deanne",AUTHOR
40,25,"Vegt, Niko",AUTHOR
41,26,"Shdaimah, Corey",AUTHOR
42,26,"Franke, Nancy",AUTHOR
43,27,"Alvarez, Carmen",AUTHOR
44,28,"Flom, Hernan",AUTHOR
45,28,"Post, Alison",AUTHOR
46,29,"Moorlock, Greg",AUTHOR
47,30,"Steinberg, Beth",AUTHOR
48,30,"Mulugeta, Yulia",AUTHOR
49,30,"Quatman-Yates, Catherine",AUTHOR
50,30,"Williams, Maeghan",AUTHOR
51,30,"Gogineni, Anvitha",AUTHOR
52,30,"Klatt, Maryanna",AUTHOR
53,31,"Matos, Lisvel",AUTHOR
54,31,"Gonzalez-Guarda, Rosa",AUTHOR
55,31,"Salas, Jasmine",AUTHOR
56,31,"Muñoz, Caroline",AUTHOR
57,32,"Rabello Sodre, Joao Gabriel",AUTHOR
58,33,"Bezabih, Alemitu Mequanint",AUTHOR
59,33,"Smith, C. Estelle",AUTHOR
60,34,"Kumwenda, Moses Kelly",AUTHOR
61,34,"Mukoka, Madalo",AUTHOR
62,34,"Mhango, Owen",AUTHOR
63,34,"Choko, Augustine",AUTHOR
64,35,"Baum, Eleonore",AUTHOR
65,35,"Usman, Sied",AUTHOR
66,35,"Abdilahi, Roda",AUTHOR
67,36,"Boyer, Eric",AUTHOR
68,37,"Chang, Pi Hua",AUTHOR
